image_name;manual_count;script_own;script_simple;script_watershed;script_own_sparse;script_SarDist;YOLO_count
img_01;105;40;51;74;60;107;
img_02;92;46;50;69;57;91;
img_03;66;51;56;61;75;73;
img_04;63;29;33;49;43;56;
img_05;52;36;37;49;46;59;
img_06;62;40;41;54;48;60;
img_07;69;37;44;64;56;76;
img_08;85;41;46;77;57;90;
img_09;76;43;48;62;58;75;
img_10;72;41;42;60;60;81;
img_11;58;39;43;52;55;65;
img_12;104;40;51;83;60;107;
img_13;70;36;42;61;61;96;
img_14;79;60;71;78;82;84;
img_15;70;57;60;69;73;75;
